iteration,d_loss,g_loss,k1,d1
1,0.6908292740583419,0.64277613,0.5008523269990189,0.000999846529817457
2,0.6786742687225342,0.64875364,0.500968767719929,0.0010003025393280295
3,0.6638851165771485,0.6562677,0.5012562533064174,0.0010005037861059683
4,0.6320724882185459,0.6699322,0.49415263514365654,0.0009990955851337747
5,0.5961229741573334,0.63535863,0.48908196861187025,0.0009966981952136498
6,0.5451579207181931,0.45639262,0.4857357115019702,0.0009939552540246099
7,0.5668658542633056,0.59184784,0.4853915782909466,0.0009976518488189457
8,0.5587238609790802,0.73653793,0.4855519441041805,0.000996993509340936
9,0.5443241161959512,0.568735,0.4819702761300426,0.0009959544934553244
10,0.5594615842614855,0.6156393,0.47782107210355323,0.0009976485727215272
11,0.5613512761890889,0.5635192,0.47727883362617324,0.0009998730817607309
12,0.5480621311399672,0.5884343,0.47518820355504193,0.0010009791597121536
13,0.5584875312116411,0.58424467,0.4718653662697731,0.0009980356780663294
14,0.5357289212942123,0.60741997,0.46701592322584795,0.0009893534691488217
15,0.5236805823445321,0.6484826,0.46748132638326545,0.0009874972510015556
16,0.47237106724218886,0.64038503,0.4718099297588953,0.0009913438642285065
17,0.3783687566717466,0.7014055,0.4718723836205281,0.0009915547944866565
18,0.37786156833171847,0.9246811,0.47188222774824173,0.0009915281992712425
19,0.37576968876215133,0.57416475,0.47285781364993495,0.0009913952338937348
20,0.41171459944120475,0.78327745,0.4762088869808814,0.000993886532151107
