iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6934041976928711,0.595874,0.3880236061139874,0.049787068367863944
2,0.6828615128993988,0.75733626,6.8369930503932235,0.049787068367863944
3,0.6907329380512237,0.6067413,,
4,0.6520213782787323,0.6424433,,
5,0.5853332310914994,0.6977999,,
6,0.4677962446212768,0.76583374,,
7,0.32514300525188455,0.8186577,,
8,0.2284664750099182,0.8589652,,
9,0.16894920957939966,0.8918252,,
10,0.12153188501085554,0.91547513,,
11,0.08953442089259625,0.9344321,,
12,0.06614326275885105,0.9500743,,
13,0.05160640978978741,0.96023244,,
14,0.04093996252864599,0.9695545,,
15,0.032376262880861754,0.9760767,,
16,0.02595506242730401,0.98205143,,
17,0.020377836422994733,0.98652065,,
18,0.016572896360109248,0.98948693,,
19,0.01382379666543924,0.9917256,,
20,0.011647918880251903,0.9936164,,
