iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6930195838212967,0.645707752764225,0.6822325019363685,0.010045272891158467
2,0.691425484418869,0.6434100334596634,0.5577405793538632,0.008051240722457813
3,0.6943044980367026,0.6288807556295395,0.5559265182688833,0.007934937404981392
4,0.6830460205674171,0.6400653262734413,0.5861234889975059,0.00843552655150444
5,0.6563385024666786,0.5798365388476848,0.5103146746749727,0.0071113312844347295
6,0.6816527020931243,0.6265553883671761,0.475879377529581,0.006627473926717949
7,0.6729506921768188,0.6277906937241554,0.4806195482865854,0.006721487883169211
8,0.671063138047854,0.6295368475669623,0.48304091369831237,0.006791323522745278
9,0.6643566880907332,0.6406747589969635,0.4750384026330805,0.006505708095784809
10,0.6514763721397945,0.604365795686692,0.4934111585410652,0.006692029461479416
11,0.642858000844717,0.6884791862547398,0.4779049848264174,0.006496838637388408
12,0.6269797556930118,0.6071204770320654,0.4270459573623201,0.00609898859442211
13,0.6051529599560632,0.6154923639538884,0.3915715697678313,0.0059409053713844456
14,0.5884221136569978,0.6811177417272329,0.3899193458856093,0.006056760290151935
15,0.5514249718189239,0.5900625334978103,0.37720045139613745,0.006140628620063421
16,0.53799906400117,0.5965750442314148,0.3449723151361037,0.006026823682295496
17,0.5550724148750306,0.656903936215341,0.29277852090792367,0.035981465355986855
18,0.04692730469784388,0.006737421234846115,0.30378784047345847,0.009573109388270532
19,0.8621273483221348,0.5782064113816618,0.21358500914202416,0.005418436433547498
20,0.5449112406798772,0.3692189183139801,0.08078838400193102,0.002844363520717585
