iteration,d_loss,g_loss,stiffness_k,damping_d
1,0.6939030408859252,0.555271359962672,0.400074684635268,0.010002712167697967
2,0.6933097600936889,0.5526813197606802,0.40036249021023573,0.010028596916408531
3,0.694351746638616,0.5694701898026466,0.3996217058725358,0.010009639948579214
4,0.6861793637275696,0.5688015523010492,0.39994879894383456,0.010022538079050212
5,0.6857917040586472,0.5970564504562318,0.399742293747653,0.010026343462768726
6,0.6742391633987427,0.6074389631576463,0.3910587082870957,0.010075023106078296
7,0.6585996711254118,0.5484608856987954,0.3869537500594634,0.009546598260825859
8,0.6239878922700883,0.5195879198718071,0.40990223745328597,0.010059328218867528
9,0.6482571410281317,0.6370458586341142,0.4095903646620251,0.010092249430660716
10,0.5414642606462751,0.6901935973143578,0.41084809091989344,0.010406770237643656
11,0.43865120187401774,0.8314225021708012,0.4122199731809662,0.010273667314214335
12,0.36026866286993026,0.7473007420492173,0.4118264503804075,0.01026078252927281
13,0.34249654312928524,0.8660974745070934,0.4203418828340603,0.010528206587214541
14,0.25771779596805566,0.8964951499205828,0.4198884227676485,0.010478599625906766
15,0.233110236003995,0.9063298098707199,0.41926971303708593,0.010477973350457569
16,0.23152259425683455,0.9103532852745057,0.4185928708057487,0.010520659643779984
17,0.2116253339375059,0.7181212525039912,0.4939531280933344,0.012362891593725275
18,0.1762003974057734,0.9298975945276022,0.49387204625480297,0.012360230432964208
19,0.11695337255413714,0.9474122011658549,0.5036556825444425,0.012501374752891332
20,0.09901583593870913,0.9585851220178604,0.5062365400258529,0.012516206100502282
